日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語（簡）,中国語（繁）
ゆうしゃのけんピック,Heroic Sword Pick,Pique Épée du Héros,Heldenschwert-Pikser,Stecchino spadone,Palillo Heroico,용사의 검 픽,勇者之剑三明治签,勇者之劍三明治籤
マジカルスターピック,Magical Star Pick,Pique Étoile Magique,Zauberstern-Pikser,Stecchino magistella,Palillo Estrella,매지컬 스타 픽,魔法星星三明治签,魔法星星三明治籤
マジカルハートピック,Magical Heart Pick,Pique Cœur Magique,Zauberherz-Pikser,Stecchino magicuore,Palillo Corazón,매지컬 하트 픽,魔法甜心三明治签,魔法甜心三明治籤
パラソルピック,Parasol Pick,Pique Parasol,Schirmchen-Pikser,Ombrellino,Palillo Sombrilla,파라솔 픽,阳伞三明治签,陽傘三明治籤
あおぞらおはなピック,Blue-Sky Flower Pick,Pique Fleur d'Azur,Mittagsblumen-Pikser,Stecchino fiore blu,Palillo Flor Azul,푸른하늘 꽃 픽,晴空花三明治签,晴空花三明治籤
ゆうやけおはなピック,Sunset Flower Pick,Pique Fleur du Ponant,Abendblumen-Pikser,Stecchino fiore arancio,Palillo Flor Naranja,저녁노을 꽃 픽,夕阳花三明治签,夕陽花三明治籤
あさやけおはなピック,Sunrise Flower Pick,Pique Fleur du Levant,Morgenblumen-Pikser,Stecchino fiore rosso,Palillo Flor Rosa,아침노을 꽃 픽,朝霞花三明治签,朝霞花三明治籤
むしよけスプレー,Repel,Repousse,Schutz,Repellente,Repelente,벌레회피스프레이,除虫喷雾,除蟲噴霧
シルバースプレー,Super Repel,Superepousse,Superschutz,Superrepellente,Superrepelente*,실버스프레이,白银喷雾,白銀噴霧
ゴールドスプレー,Max Repel,Max Repousse,Top-Schutz,Repellente Max,Máximo Repelente*,골드스프레이,黄金喷雾,黃金噴霧
あなぬけのヒモ,Escape Rope,Corde Sortie,Fluchtseil,Fune Di Fuga,Cuerda Huida,동굴탈출로프,离洞绳,離洞繩
マックスアップ,HP Up,PV Plus,KP-Plus,PS-Su,Más PS,맥스업,HP增强剂,HP增強劑
タウリン,Protein,Proteine,Protein,Proteina,Proteína*,타우린,攻击增强剂,攻擊增強劑
ブロムヘキシン,Iron,Fer,Eisen,Ferro,Hierro,사포닌,防御增强剂,防禦增強劑
リゾチウム,Calcium,Calcium,Kalzium,Calcio,Calcio,리보플라빈,特攻增强剂,特攻增強劑
キトサン,Zinc,Zinc,Zink,Zinco,Zinc,키토산,特防增强剂,特防增強劑
インドメタシン,Carbos,Carbone,Carbon,Carburante,Carburante,알칼로이드,速度增强剂,速度增強劑
たいりょくのハネ,Health Wing,Aile Santé,Heilfeder,Piumsalute,Pluma Vigor*,체력날개,体力之羽,體力之羽
きんりょくのハネ,Muscle Wing,Aile Force,Kraftfeder,Piumpotenza,Pluma Músculo*,근력날개,肌力之羽,
ていこうのハネ,Resist Wing,Aile Armure,Abwehrfeder,Piumtutela,Pluma Aguante*,저항력날개,抵抗之羽,
ちりょくのハネ,Genius Wing,Aile Esprit,Geniefeder,Piumingegno,Pluma Intelecto*,지력날개,智力之羽,
せいしんのハネ,Clever Wing,Aile Mental,Espritfeder,Piumintuito,Pluma Mente*,정신력날개,精神之羽,
しゅんぱつのハネ,Swift Wing,Aile Sprint,Flinkfeder,Piumreazione,Pluma Ímpetu*,순발력날개,瞬发之羽,瞬發之羽
くろいビードロ,Black Flute,Flute Noire,Schw. Flöte,Flauto Nero,Flauta Negra,검정비드로,黑色玻璃哨,
しろいビードロ,White Flute,Fluteblanche,Weisse Flöte,Flauto Bianco,Flauta Blanca,하양비드로,白色玻璃哨,
あさせのしお,Shoal Salt,Sel Trefonds,Küstensalz,Sale Ondoso,Sal Cardumen,여울소금,浅滩海盐,淺灘海鹽
あさせのかいがら,Shoal Shell,Co. Trefonds,Küstenschale,Gusciondoso,Concha Cardumen,여울조개껍질,浅滩贝壳,淺灘貝殼
ハートのウロコ,Heart Scale,Écaille Cœur,Herzschuppe,Squama Cuore,Escama Corazón,하트비늘,心之鳞片,
あかいかけら,Red Shard,Tesson Rouge,Purpurstück,Coccio Rosso,Parte Roja,빨강조각,紅色碎片,红色碎片
あおいかけら,Blue Shard,Tesson Bleu,Indigostück,Coccio Blu,Parte Azul,파랑조각,蓝色碎片,藍色碎片
きいろいかけら,Yellow Shard,Tesson Jaune,Gelbstück,Coccio Giallo,Parte Amarilla,노랑조각,黄色碎片,黃色碎片
みどりのかけら,Green Shard,Tesson Vert,Grünstück,Coccio Verde,Parte Verde,초록조각,绿色碎片,綠色碎片
がくしゅうそうち,Exp. Share,Multi Exp,EP-Teiler,Distrib Esp.,Repartir Exp.,학습장치,学习装置,學習裝置
きのはこ,Normal Box,Coffre Normal,Schachtel,Scat. Normale,Caja Normal,나무상자,,
きりのはこ,Gorgeous Box,Coffre Luxe,Schatulle,Scat. Lusso,Caja Grande,오동나무상자,,
おいしいシッポ,SlowpokeTail,QueueRamolos,Flegmonrute,CodaSlowpoke,Colaslowpoke,맛있는꼬리,美味尾巴,
あまいミツ,Honey,Miel,Honig,Miele,Miel,달콤한꿀,甜甜蜜,
ときのふえ,Time Flute,Flûte du Temps,Zeitflöte,Flauto Tempo,Fl. Tiempo,--,时之笛,
ポケまんま,Poké Snack,Poké Snack,Pokésnack,Poké Snack,Poké Dulce,--,,
すくすくこやし,Growth Mulch,Fertipousse,Wachsmulch,Fertilrapido,Abono Rápido,무럭무럭비료,速速肥,
じめじめこやし,Damp Mulch,Fertihumide,Feuchtmulch,Fertilidro,Abono Lento,축축이비료,湿湿肥,濕濕肥
ながながこやし,Stable Mulch,Fertistable,Stabilmulch,Fertilsaldo,Abono Fijador,오래오래비료,久久肥,
ねばねばこやし,Gooey Mulch,Fertiglu,Neumulch,Fertilcolla,Abono Brote,끈적끈적비료,粘粘肥,黏黏肥
ねっこのカセキ,Root Fossil,Fossile Racine*,Wurzelfossil,Radifossile,Fósil Raíz,뿌리화석,根状化石,根狀化石
ツメのカセキ,Claw Fossil,Fossile Griffe*,Klauenfossil,Fossilunghia,Fósil Garra,발톱화석,爪子化石,
かいのカセキ,Helix Fossil,Fossile Nautile,Helixfossil,Helixfossile,Fósil Helix,조개화석,贝壳化石,貝殼化石
こうらのカセキ,Dome Fossil,Fossile Dôme,Domfossil,Domofossile,Fósil Domo,껍질화석,甲壳化石,甲殼化石
ひみつのコハク,Old Amber,Vieil Ambre,Altbernstein,Ambra Antica,Ambar Viejo,비밀의호박,秘密琥珀,
たてのカセキ,Armor Fossil,Fossile Armure*,Panzerfossil,Fossilscudo,Fósil Coraza,방패의화석,盾甲化石,
ずがいのカセキ,Skull Fossil,Fossile Crâne*,Kopffossil,Fossilcranio,Fósil Cráneo,두개의화석,头盖化石,頭蓋化石
かなめいし,Odd Keystone,Clé de Voûte,Spiritkern,Roccianima,P. Espíritu,쐐기돌,楔石,
ふたのカセキ,Cover Fossil,Fossile Plaque*,Schildfossil,Fossiltappo,Fósil Tapa,덮개화석,背盖化石,背蓋化石
はねのカセキ,Plume Fossil,Fossile Plume*,Federfossil,Fossilpiuma,Fósil Pluma,날개화석,羽毛化石,
デルダマ,Pass Orb,Offrisphère,Transferorb,Passabilia,Regalosfera,딜구슬,释出之玉,釋出之玉
とくせいカプセル,Ability Capsule,Pilule Talent,Fähigkeiten-Kapsel,Capsula Abilità,Cáps. Habilidad,특성캡슐,特性胶囊,特性膠囊
たわわこやし,Rich Mulch,Fertibondance,Sprießmulch,Fertilflorido,Abono Fértil,주렁주렁비료,硕果肥,碩果肥
びっくりこやし,Surprise Mulch,Fertistantané,Wundermulch,Fertilsorpresa,Abono Sorpresa,깜놀비료,吃惊肥,吃驚肥
ぐんぐんこやし,Boost Mulch,Fertibérance,Wuchermulch,Fertilcopioso,Abono Fructífero,부쩍부쩍비료,劲劲肥,勁勁肥
とんでもこやし,Amaze Mulch,Fertiprodige,Ultramulch,Fertilprodigio,Abono Insólito,기절초풍비료,超效肥,
バーゲンチケット,Discount Coupon,Bon Réduction,Rabattmarke,Buono sconto,Vale Descuento,바겐세일티켓,折价券,折價券
ふしぎなおきもの,Strange Souvenir,Bibelot Bizarre,Skurriloskulptur,Strano ninnolo,Estatuilla Rara,이상한장식품,神秘摆设,神秘擺設
アゴのカセキ,Jaw Fossil,Fossile Mâchoire,Kieferfossil,Fossilmascella,Fósil Mandíbula,턱화석,颚之化石,顎之化石
ヒレのカセキ,Sail Fossil,Fossile Nageoire,Flossenfossil,Fossilpinna,Fósil Aleta,지느러미화석,鳍之化石,鰭之化石
やまぶきのミツ,Yellow Nectar,Nectar Jaune,Gelber Nektar,Nettare giallo,Néctar Amarillo,진노랑꿀,金黄色花蜜,金黃色花蜜
うすもものミツ,Pink Nectar,Nectar Rose,Rosa Nektar,Nettare rosa,Néctar Rosa,연분홍꿀,桃粉色花蜜,
くれないのミツ,Red Nectar,Nectar Rouge,Roter Nektar,Nettare rosso,Néctar Rojo,다홍꿀,朱红色花蜜,朱紅色花蜜
むらさきのミツ,Purple Nectar,Nectar Mauve,Purpurner Nektar,Nettare viola,Néctar Violeta,보라꿀,兰紫色花蜜,蘭紫色花蜜
フェスチケット,Festival Ticket,Festicket,Festival-Ticket,Festicket,Festicupón,페스티켓,圆庆票,圓慶票
きんのおうかん,Gold Bottle Cap,Capsule d'Or,Goldkronkorken,Tappo d'oro,Chapa Dorada,금왕관,金色王冠,
ぎんのおうかん,Bottle Cap,Capsule d'Argent,Silberkronkorken,Tappo d'argento,Chapa Plateada,은왕관,银色王冠,銀色王冠
タマゴふかポン,Roto Hatch,Moti-Couveuse,Brutbon,Cova’n’roll,Cupón Eclosión,알부화캡슐토이,孵蛋碰碰,孵蛋碰碰
やすうりポン,Roto Bargain,Moti-Promo,Schnäppchenbon,Sconto’n’roll,Cupón Rebaja,할인캡슐토이,优惠碰碰,優惠碰碰
おこづかいポン,Roto Prize Money,Moti-Magot,Preisgeldbon,Soldi’n’roll,Cupón Botín,용돈캡슐토이,零花钱碰碰,零用錢碰碰
けいけんポン,Roto Exp. Points,Moti-Exp,EP-Bon,Esp’n’roll,Cupón Exp,경험캡슐토이,经验碰碰,經驗碰碰
なつきポン,Roto Friendship,Moti-Cœur,Freundschaftsbon,Affetto’n’roll,Cupón Amistad,친밀도캡슐토이,亲密碰碰,親密碰碰
みっけポン,Roto Encounter,Moti-Appât,Lockbon,Incontra’n’roll,Cupón Reclamo,발견캡슐토이,相遇碰碰,相遇碰碰
かくれポン,Roto Stealth,Moti-Camouflage,Schutzbon,Repelle’n’roll,Cupón Sigilo,숨기캡슐토이,隐身碰碰,隱身碰碰
むしよせコロン,Lure,Parfum,Lockparfüm,Profumo invito,Colonia,벌레유인코롱,引虫香水,引蟲香水
シルバーコロン,Super Lure,Super Parfum,Super-Lockparfüm,Superprofumo,Supercolonia,실버코롱,白银香水,白銀香水
ゴールドコロン,Max Lure,Parfum Max,Top-Lockparfüm,Profumo Max,Colonia Máxima,골드코롱,黄金香水,黃金香水
ぎんのズリのみ,Silver Razz Berry,Baie Framby argentée,Silberne Himmihbeere,Baccalampon argentata,Baya Frambu Plateada,은 라즈열매,银色蔓莓果,銀色蔓莓果
きんのズリのみ,Golden Razz Berry,Baie Framby dorée,Goldene Himmihbeere,Baccalampon dorata,Baya Frambu Dorada,황금 라즈열매,金色蔓莓果,金色蔓莓果
ぎんのナナのみ,Silver Nanab Berry,Baie Nanab argentée,Silberne Nanabbeere,Baccabana argentata,Baya Latano Plateada,은 나나열매,银色蕉香果,銀色蕉香果
きんのナナのみ,Golden Nanab Berry,Baie Nanab dorée,Goldene Nanabbeere,Baccabana dorata,Baya Latano Dorada,황금 나나열매,金色蕉香果,金色蕉香果
ぎんのパイルのみ,Silver Pinap Berry,Baie Nanana argentée,Silberne Sananabeere,Baccananas argentata,Baya Pinia Plateada,은 파인열매,银色凰梨果,銀色凰梨果
きんのパイルのみ,Golden Pinap Berry,Baie Nanana dorée,Goldene Sananabeere,Baccananas dorata,Baya Pinia Dorada,황금 파인열매,金色凰梨果,金色凰梨果
うみべのガラス,Beach Glass,Galet de Verre,Strandscherbe,Vetro marino,Cristal Marino,바닷가유리,海边的玻璃,海邊的玻璃
かたっぽピアス,Lone Earring,Boucle d'Oreille,Ohrring,Orecchino,Pendiente,한쪽귀고리,一边的耳环,一邊的耳環
このはのおてがみ,Leaf Letter,Lettre Végétale,Blattbrief,Foglialettera,Hoja Escrita,나뭇잎편지,树叶信,樹葉信
ちいさなはなたば,Small Bouquet,Petit Bouquet,Ministrauß,Bouquet,Ramo Pequeño,작은꽃다발,小小花束,小小花束
チョークいし,Chalky Stone,Craie,Kreidestein,Gessetto,Tiza,초크돌,粉笔石,粉筆石
なんごくかいがら,Tropical Shell,Coquille du Sud,Tropenmuschel,Tropiconchiglia,Concha Tropical,트로피컬조개껍질,南国贝壳,南國貝殼
のびたバネ,Stretchy Spring,Ressort Détendu,Spiralfeder,Molla elastica,Muelle Estirado,늘어난용수철,松掉的弹簧,鬆掉的彈簧
ビーだま,Marble,Bille,Glasmurmel,Biglia,Canica,유리구슬,弹珠,彈珠
ピカピカだんご,Polished Mud Ball,Boulette de Boue,Glanzkugel,Pallina di fango,Bola de Arcilla,반짝반짝경단,光滑泥球,光滑泥球
ねがいのかたまり,Wishing Piece,Morceau Vœu,Wunschbrocken,Desioblocco,Trozo Deseo,소원의덩어리,许愿星块,許願星塊
ダイクリスタル,Dynamax Crystal,Cristal Géant,Dynakristall,Dynacristallo,Cristal Dinamax,다이크리스탈,极巨结晶,極巨結晶
ダイマックスアメ,Dynamax Candy,Bonbon Dynamax,Dynamax-Bonbon,Caram. Dynamax,Caramelo Dinamax,다이맥스사탕,极巨糖果,極巨糖果
けいけんアメXS,Exp. Candy XS,Bonbon Exp. XS,EP-Bonbon XS,Caram. Esp. XS,Caramelo Exp. XS,경험사탕XS,经验糖果XS,經驗糖果XS
けいけんアメS,Exp. Candy S,Bonbon Exp. S,EP-Bonbon S,Caram. Esp. S,Caramelo Exp. S,경험사탕S,经验糖果S,經驗糖果S
けいけんアメM,Exp. Candy M,Bonbon Exp. M,EP-Bonbon M,Caram. Esp. M,Caramelo Exp. M,경험사탕M,经验糖果M,經驗糖果M
けいけんアメL,Exp. Candy L,Bonbon Exp. L,EP-Bonbon L,Caram. Esp. L,Caramelo Exp. L,경험사탕L,经验糖果L,經驗糖果L
けいけんアメXL,Exp. Candy XL,Bonbon Exp. XL,EP-Bonbon XL,Caram. Esp. XL,Caramelo Exp. XL,경험사탕XL,经验糖果XL,經驗糖果XL
さみしがりミント,Lonely Mint,Aromate Solo,Solo-Minze,Menta Schiva,Menta Huraña,외로움민트,怕寂寞薄荷,
いじっぱりミント,Adamant Mint,Aromate Rigide,Hart-Minze,Menta Decisa,Menta Firme,고집민트,固执薄荷,固執薄荷
やんちゃミント,Naughty Mint,Aromate Mauvais,Frech-Minze,Menta Birbona,Menta Pícara,개구쟁이민트,顽皮薄荷,頑皮薄荷
ゆうかんミント,Brave Mint,Aromate Brave,Mutig-Minze,Menta Audace,Menta Audaz,용감민트,勇敢薄荷,
ずぶといミント,Bold Mint,Aromate Assuré,Kühn-Minze,Menta Sicura,Menta Osada,대담민트,大胆薄荷,大膽薄荷
わんぱくミント,Impish Mint,Aromate Malin,Pfiffig-Minze,Menta Scaltra,Menta Agitada,장난꾸러기민트,淘气薄荷,淘氣薄荷
のうてんきミント,Lax Mint,Aromate Lâche,Lasch-Minze,Menta Fiacca,Menta Floja,촐랑민트,乐天薄荷,樂天薄荷
のんきミント,Relaxed Mint,Aromate Relax,Locker-Minze,Menta Placida,Menta Plácida,무사태평민트,悠闲薄荷,悠閒薄荷
ひかえめミント,Modest Mint,Aromate Modeste,Mäßig-Minze,Menta Modesta,Menta Modesta,조심민트,内敛薄荷,內斂薄荷
おっとりミント,Mild Mint,Aromate Doux,Mild-Minze,Menta Mite,Menta Afable,의젓민트,慢吞吞薄荷,
うっかりやミント,Rash Mint,Aromate Foufou,Hitzig-Minze,Menta Ardente,Menta Alocada,덜렁민트,马虎薄荷,馬虎薄荷
れいせいミント,Quiet Mint,Aromate Discret,Ruhig-Minze,Menta Quieta,Menta Mansa,냉정민트,冷静薄荷,冷靜薄荷
おだやかミント,Calm Mint,Aromate Calme,Still-Minze,Menta Calma,Menta Serena,차분민트,温和薄荷,溫和薄荷
おとなしいミント,Gentle Mint,Aromate Gentil,Zart-Minze,Menta Gentile,Menta Amable,얌전민트,温顺薄荷,溫順薄荷
しんちょうミント,Careful Mint,Aromate Prudent,Sacht-Minze,Menta Cauta,Menta Cauta,신중민트,慎重薄荷,
なまいきミント,Sassy Mint,Aromate Malpoli,Forsch-Minze,Menta Vivace,Menta Grosera,건방민트,自大薄荷,
おくびょうミント,Timid Mint,Aromate Timide,Scheu-Minze,Menta Timida,Menta Miedosa,겁쟁이민트,胆小薄荷,膽小薄荷
せっかちミント,Hasty Mint,Aromate Pressé,Hastig-Minze,Menta Lesta,Menta Activa,성급민트,急躁薄荷,
ようきミント,Jolly Mint,Aromate Jovial,Froh-Minze,Menta Allegra,Menta Alegre,명랑민트,爽朗薄荷,
むじゃきミント,Naive Mint,Aromate Naïf,Naiv-Minze,Menta Ingenua,Menta Ingenua,천진난만민트,天真薄荷,
まじめミント,Serious Mint,Aromate Sérieux,Ernst-Minze,Menta Seria,Menta Seria,성실민트,认真薄荷,認真薄荷
カセキのトリ,Fossilized Bird,Fossile Oiseau,Vogelfossil,Ornitofossile,Ornitofósil,화석새,化石鸟,化石鳥
カセキのサカナ,Fossilized Fish,Fossile Poisson,Fischfossil,Ittiofossile,Ictiofósil,화석물고기,化石鱼,化石魚
カセキのリュウ,Fossilized Drake,Fossile Dragon,Drachenfossil,Dracofossile,Dracofósil,화석새,化石龙,化石龍
カセキのクビナガ,Fossilized Dino,Fossile Aileron,Paddelfossil,Plesiofossile,Plesiofósil,화석긴목,化石海兽,化石海獸
ガラナツのえだ,Galarica Twig,Branche Galanoa,Galarnuss-Zweig,Ramo Galarnoce,Rama de Galanuez,가라두구가지,伽勒豆蔻枝,伽勒荳蔻枝
ヨロイこうせき,Armorite Ore,Armurium,Rüstungserz,Rocciarmatura,Duralium,갑옷광석,铠甲矿石,鎧甲礦石
あかぼんぐり,Red Apricorn,Noigrume Rouge,Aprikoko Rot,Ghicocca Rossa,Bonguri Rojo,빨간규토리,红球果,紅球果
あおぼんぐり,Blue Apricorn,Noigrume Bleu,Aprikoko Blu,Ghicocca Blu,Bonguri Azul,파란규토리,蓝球果,藍球果
きぼんぐり,Yellow Apricorn,Noigrume Jaune,Aprikoko Glb,Ghicocca Gialla,Bonguri Amarillo,노랑규토리,黄球果,黃球果
みどぼんぐり,Green Apricorn,Noigrume Vert,Aprikoko Grn,Ghicocca Verde,Bonguri Verde,초록규토리,绿球果,綠球果
ももぼんぐり,Pink Apricorn,Noigrume Rose,Aprikoko Pnk,Ghicocca Rosa,Bonguri Ros,담홍규토리,粉球果,粉球果
しろぼんぐり,White Apricorn,Noigrume Blanc,Aprikoko Wss,Ghicocca Bianca,Bonguri Blanco,하얀규토리,白球果,白球果
くろぼんぐり,Black Apricorn,Noigrume Noir,Aprikoko Swz,Ghicocca Nera,Bonguri Negro,검은규토리,黑球果,黑球果
とくせいパッチ,Ability Patch,Patch Talent,Fähigk.-Pflaster,Cerotto abilità,Parche Habilidad,특성패치,特性膏药,特性膏藥
マックスこうせき,Dynite Ore,Dynamaxium,Dyna-Erz,Rocciamax,Maxinium,맥스광석,极矿石,極礦石
なぞのかけらS,Mysterious Shard S,Éclat Étrange S,Enigmafragment S,Frammento insolito S,Esquirla Extraña S,수수께끼의조각S,谜之碎片S,謎之碎片S
なぞのかけらL,Mysterious Shard L,Éclat Étrange L,Enigmafragment L,Frammento insolito L,Esquirla Extraña L,수수께끼의조각L,谜之碎片L,謎之碎片L
みちびきのせきばん,Discovery Slate,Tablette Guides,Weisungsplatte,Piastra degli esordi,Losa Inicio,인도의석판,引导石板,引導石板
ジョウトのせきばん,Johto Slate,Tablette Johto,Johto-Platte,Piastra di Johto,Losa Johto,성도의석판,城都石板,城都石板
カントーのせきばん,Kanto Slate,Tablette Kanto,Kanto-Platte,Piastra di Kanto,Losa Kanto,관동의석판,关都石板,關都石板
こころのせきばん,Soul Slate,Tablette Cœur,Gefühlsplatte,Piastra del cuore,Losa Empatía,마음의석판,心之石板,心之石板
にじのせきばん,Rainbow Slate,Tablette Arc-en-ciel,Regenbogenplatte,Piastra arcobaleno,Losa Arcoíris,무지개의석판,彩虹石板,彩虹石板
あらしのせきばん,Squall Slate,Tablette Tempête,Sturmplatte,Piastra dei venti,Losa Tormenta,폭풍의석판,暴风石板,暴風石板
たいかいのせきばん,Oceanic Slate,Tablette Océans,Meeresplatte,Piastra dei mari,Losa Mar,대해의석판,大海石板,大海石板
たいりくのせきばん,Tectonic Slate,Tablette Continents,Kontinentplatte,Piastra delle terre,Losa Tierra,대륙의석판,大陆石板,大陸石板
てんくうのせきばん,Stratospheric Slate,Tablette Cieux,Himmelsplatte,Piastra dei cieli,Losa Cielo,천공의석판,天空石板,天空石板
いでんしのせきばん,Genome Slate,Tablette Génétique,Genplatte,Piastra del gene,Losa Genética,유전자의석판,基因石板,基因石板
やぶれたせきばん,Distortion Slate,Tablette Distorsion,Zerrplatte,Piastra distorta,Losa Distorsión,깨어진석판,毁坏石板,毀壞石板
せめのがんやく,Aux Power,Offensive Extra,Offensivvitamine,Offensiva extra,Gragea Ofensiva,공격의환약,进攻药丸,進攻藥丸
まもりのがんやく,Aux Guard,Défense Extra,Defensivvitamine,Difensiva extra,Gragea Defensiva,방어의환약,防守药丸,防守藥丸
ヨクアタラーヌ,Aux Evasion,Esquive Extra,Ausweichvitamine,Elusione X,Gragea Evasiva,잘-안맞기,闪避强化,閃避強化
マルチアップ,Aux Powerguard,Double Extra,Kombivitamine,Multi extra,Gragea Multi,멀티업,多重强化,多重強化
こだわりちまき,Choice Dumpling,Papillote Choix,Wahlreishappen,Involtoscelta,Aperitivo Elección,구애잎사귀떡,讲究粽,講究粽
にばいづけ,Twice-Spiced Radish,Bouchée Double,Doppelrettich,Doppiaceto,Encurtidoble,두배절임,双倍腌菜,雙倍醃菜
あべこべやき,Swap Snack,En-cas Contraire,Umkehrbratling,Invertigratin,Bocadito Inversión,뒤바뀜구이,颠倒烧,顛倒燒
ひそやかスプレー,Stealth Spray,Solution Furtive,Schleichspray,Furtivizzante,Aerosol Sigilo,살금살금스프레이,匿声喷雾,匿聲噴霧
キノコよせだま,Mushroom Cake,Appât Toumou,Pilzköder,Polpetta funghi,Cebo de Setas,버섯유인환,菇诱团,菇誘糰
ミツよせだま,Honey Cake,Appât Kibrille,Honigköder,Polpetta miele,Cebo Meloso,꿀유인환,蜜诱团,蜜誘糰
イナホよせだま,Grain Cake,Appât Zélé,Reisköder,Polpetta spighe,Cebo de Grano,이삭유인환,谷诱团,穀誘糰
マメよせだま,Bean Cake,Appât Dodu,Bohnenköder,Polpetta fagioli,Cebo de Habas,콩유인환,豆诱团,豆誘糰
ミネラルよせだま,Salt Cake,Appât Rochedur,Mineralköder,Polpetta minerale,Cebo Mineral,미네랄유인환,矿诱团,礦誘糰
めかくしだま,Smoke Bomb,Bombe Aveuglante,Rauchkugel,Palla orba,Bola Humareda,눈속임환,烟弹,煙彈
ばりばりだま,Scatter Bang,Sachet Pétarade,Knallkugel,Scoppiosfera,Bola Ruidosa,팡팡환,声弹,聲彈
ねばりだま,Sticky Glob,Boule Gluante,Klebkugel,Sfera viscosa,Bola Pegajosa,끈끈환,黏丸,黏丸
どろだんご,Ball of Mud,Boule de Boue,Lehmball,Palla di fango,Bola de Lodo,진흙경단,泥丸,泥丸
むしくいぼんぐり,Spoiled Apricorn,Noigrume Rongé,Löchrige Aprikoko,Ghicocca bacata,Bonguri Pocho,벌레먹은규토리,蛀球果,蛀球果
ゆきだま,Snowball,Boule de Neige,Schneeball,Palla di neve,Bola de Nieve,눈덩이,雪丸,雪丸
もちもちキノコ,Springy Mushroom,Champi Toumou,Zähpilz,Fungo gommoso,Seta Esponjosa,쫄깃쫄깃버섯,糯糯菇,糯糯菇
きらきらミツ,Dazzling Honey,Miel Kibrille,Funkelhonig,Miele luccicante,Miel Brillante,반짝반짝꿀,晶晶蜜,晶晶蜜
いきいきイナホ,Hearty Grains,Riz Zélé,Munterreis,Spiga rigogliosa,Espiga Vivaz,싱싱이삭,旺旺谷,旺旺穀
ころころマメ,Plump Beans,Fève Dodue,Kullerbohne,Fagiolo paffuto,Haba Suculenta,통통콩,滚滚豆,滾滾豆
ごりごりミネラル,Crunchy Salt,Sel Rochedur,Knirschmineral,Minerale duro,Mineral Crocante,단단미네랄,坚坚矿,堅堅礦
ぼんぐりのみ,Apricorn,Noigrume,Aprikoko,Bacca ghicocca,Bonguri,규토리열매,球果果,球果果
たまいし,Tumblestone,Galet,Glanzstein,Ciottolo,Guijarro Rojo,옥돌,玉石,玉石
くろいろたまいし,Black Tumblestone,Galet Noir,Schwarzglanzstein,Ciottolo nero,Guijarro Negro,검은옥돌,黑玉石,黑玉石
そらいろたまいし,Sky Tumblestone,Galet Azur,Azurglanzstein,Ciottolo celeste,Guijarro Celeste,하늘색옥돌,天蓝玉石,天藍玉石
てつのかけら,Iron Chunk,Fragment de Fer,Eisenbrocken,Pezzo di ferro,Pepita de Hierro,철조각,碎铁,碎鐵
カゲブンシメジ,Doppel Bonnets,Champinja,Flinkling,Doppioteamillo,Seta Evasiva,그림자분신버섯,影分菇,影分菇
キュウショウロ,Direshroom,Champiscoto,Volltrefferling,Colpogone,Seta Crítica,급소버섯,要害松露,要害松露
キングリーフ,King's Leaf,Herbe Souveraine,Königsblatt,Foglia regina,Hierba Regia,킹리프,皇叶,皇葉
クスリソウ,Medicinal Leek,Soignon,Fitlauch,Porro officinale,Puerro Medicinal,약초,疗草,療草
ケムリイモ,Sootfoot Root,Rutabagaz,Rauchknolle,Patata fumosa,Fumibulbo,연기토란,烟芋,煙芋
ゲンキノツボミ,Vivichoke,Bourgeon Vivace,Vitalknospe,Revitalboccio,Revibrote,기력의봉오리,活力蕾,活力蕾
スイートトリュフ,Candy Truffle,Truffe Sucrée,Süßtrüffel,Tartufo dolce,Trufa Dulce,스위트러플,甜松露,甜松露
スナハマダイコン,Sand Radish,Radis des Plages,Strandrettich,Rafano costiero,Rábano Arenero,모래해변무,沙滩萝卜,沙灘蘿蔔
タマゼンマイ,Caster Fern,Feuille Ronde,Rundblatt,Felcetonda,Helecho Rizado,둥근고비,弹子萁,彈子萁
ツルギマイタケ,Swordcap,Fortichampi,Schwertling,Danzaspaditola,Seta Espada,칼춤버섯,剑舞菇,劍舞菇
テッペキクラゲ,Iron Barktongue,Carapachampi,Schildling,Ferroscudino,Seta Férrea,철벽버섯,铁壁木耳,鐵壁木耳
バリバリモ,Pop Pod,Pétaralgue,Knallmoos,Scoppiettalga,Marimo Ruidoso,팡팡마리모,惊声藻,驚聲藻
ピーピーグサ,Pep-Up Plant,Plante PP,Ätherkraut,Erba PP,Hierba Éter,PP풀,PP草,PP草
ムシヨケソウ,Bugwort,Plante Répulsive,Schutzblume,Erba repellente,Hierba Repelente,벌레회피풀,除虫草,除蟲草
もくざい,Wood,Bois,Holz,Legno,Madera,목재,木材,木材
よせだまのもと,Cake-Lure Base,Appâte,Köderteig,Polpetta base,Masa para Cebo,유인환반죽,诱团原料,誘糰原料
ガンバリのすな,Grit Dust,Sable Effort,Leistungssand,Sabbia impegno,Polvo Esfuerzo,노력의모래,奋斗沙,奮鬥沙
ガンバリのじゃり,Grit Gravel,Cailloux Effort,Leistungskies,Ghiaia impegno,Grava Esfuerzo,노력의자갈,奋斗砾,奮鬥礫
