日本語,英語,フランス語,ドイツ語,イタリア語,スペイン語,韓国語,中国語(簡),中国語(繁)
フルールカノン,Fleur Cannon,Canon Floral,Kanonenbouquet,Cannonfiore,Cañón Floral,플뢰르캐논,花朵加农炮,花朵加農炮
サイコファング,Psychic Fangs,Psycho-Croc,Psychobeißer,Psicozanna,Psicocolmillo,사이코팽,精神之牙,精神之牙
じだんだ,Stomping Tantrum,Trépignement,Fruststampfer,Battipiedi,Pataleta,분함의발구르기,跺脚,跺腳
シャドーボーン,Shadow Bone,Os’Ombre,Schattenknochen,Ossotetro,Hueso Sombrío,섀도본,暗影之骨,暗影之骨
アクセルロック,Accelerock,Vif Roc,Turbofelsen,Rocciarapida,Roca Veloz,액셀록,冲岩,衝岩
アクアブレイク,Liquidation,Aqua-Brèche,Aquadurchstoß,Idrobreccia,Hidroariete,아쿠아브레이크,水流裂破,水流裂破
プリズムレーザー,Prismatic Laser,Laser Prisme,Prisma-Laser,Prismalaser,Láser Prisma,프리즘레이저,棱镜镭射,稜鏡鐳射
シャドースチール,Spectral Thief,Clepto-Mânes,Diebesschatten,Ombrafurto,Robasombra,섀도스틸,暗影偷盗,暗影偷盜
メテオドライブ,Sunsteel Strike,Choc Météore,Stahlgestirn,Astrocarica,Meteoimpacto,메테오드라이브,流星闪冲,流星閃衝
シャドーレイ,Moongeist Beam,Rayon Spectral,Schattenstrahl,Raggio d’Ombra,Rayo Umbrío,섀도레이,暗影之光,暗影之光
なみだめ,Tearful Look,Larme à l’Œil,Tränendrüse,Occhionilucidi,Ojos Llorosos,눈물그렁그렁,泪眼汪汪,淚眼汪汪
びりびりちくちく,Zing Zap,Électrikipik,Elektropikser,Elettropizzico,Electropunzada,찌리리따끔따끔,麻麻刺刺,麻麻刺刺
しぜんのいかり,Nature’s Madness,Ire de la Nature,Naturzorn,Ira della Natura,Furia Natural,자연의분노,自然之怒,自然之怒
マルチアタック,Multi-Attack,Coup Varia-Type,Multi-Angriff,Multiattacco,Multiataque,멀티어택,多属性攻击,多屬性攻擊
1000まんボルト,"10,000,000 Volt Thunderbolt",Giga-Tonnerre,Tausendfacher Donnerblitz,Iperfulmine,Gigarrayo Fulminante,1000만볼트,千万伏特,千萬伏特
フォトンゲイザー,Photon Geyser,Photo-Geyser,Photonen-Geysir,Geyser Fotonico,Géiser Fotónico,포톤가이저,光子喷涌,光子噴湧
ビックリヘッド,Mind Blown,Caboche-Kaboum,Knallkopf,Sbalorditeata,Cabeza Sorpresa,깜짝헤드,惊爆大头,驚爆大頭
プラズマフィスト,Plasma Fists,Plasma Punch,Plasmafäuste,Pugni Plasma,Puños Plasma,플라스마피스트,等离子闪电拳,等離子閃電拳
ブレイジングソウルビート,Clangorous Soulblaze,Dracacophonie Flamboyante,Rasselnder Seelentanz,Dracofonia Divampante,Estruendo Implacable,브레이징소울비트,炽魂热舞烈音爆,熾魂熱舞烈音爆
ラジアルエッジストーム,Splintered Stormshards,Hurlement des Roches-Lames,Fataler Steinregen,Litotempesta Radiale,Tempestad Rocosa,레이디얼에지스톰,狼啸石牙飓风暴,狼嘯石牙颶風暴
サンシャインスマッシャー,Searing Sunraze Smash,Hélio Choc Dévastateur,Schmetternde Sonnenwalze,Supercollisione Solare,Embestida Solar,선샤인스매셔,日光回旋下苍穹,日光迴旋下蒼穹
ムーンライトブラスター,Menacing Moonraze Maelstrom,Rayons Séléno-Explosifs,Geballter Mondlaser,Deflagrazione Lunare,Deflagración Lunar,문라이트블래스터,月华飞溅落灵霄,月華飛濺落靈霄
てんこがすめつぼうのひかり,Light That Burns The Sky,Apocalypsis Luminis,Licht des Erlöschens,Fotodistruzione Apocalittica,Fotodestrucción Apocalíptica,하늘을태우는멸망의빛,焚天灭世炽光爆,焚天滅世熾光爆
ぽかぼかフレンドタイム,Let's Snuggle Forever,Patati-Patattrape,Herzliche Knuddelkloppe,Dolcesacco di Botte,Somanta Amistosa,투닥투닥프렌드타임,亲密无间大乱揍,親密無間大亂揍
ばちばちアクセル,Zippy Zap,Pika-Sprint,Britzelturbo,Sprintaboom,Pikaturbo,파찌파찌액셀,电电加速,電電加速
ざぶざぶサーフ,Splishy Splash,Pika-Splash,Plätschersurfer,Surfasplash,Salpikasurf,참방참방서핑,滔滔冲浪,滔滔衝浪
ふわふわフォール,Floaty Fall,Pika-Piqué,Schwebesturz,Piombaflap,Pikapicado,둥실둥실폴,飘飘坠落,飄飄墜落
ピカピカサンダー,Pika Papow,Pika-Fracas,Pika-Flash,Pikasaetta,Pikatormenta,피카피카썬더,闪闪雷光,閃閃雷光
いきいきバブル,Bouncy Bubble,Évo-Thalasso,Blubbsauger,Bollaslurp,Vapodrenaje,생생버블,活活气泡,活活氣泡
びりびりエレキ,Buzzy Buzz,Évo-Dynamo,Knisterladung,Elettrozap,Joltioparálisis,찌릿찌릿일렉,麻麻电击,麻麻電擊
めらめらバーン,Sizzly Slide,Évo-Flambo,Flackerbrand,Fiammabam,Flarembestida,이글이글번,熊熊火爆,熊熊火爆
どばどばオーラ,Glitzy Glow,Évo-Psycho,Pulsieraura,Auraswoosh,Espeaura,콸콸오라,哗哗气场,嘩嘩氣場
わるわるゾーン,Baddy Bad,Évo-Ténébro,Quälzone,Zona Buiabuia,Umbreozona,아그아그존,坏坏领域,壞壞領域
すくすくボンバー,Sappy Seed,Évo-Écolo,Sprießbomben,Bombafrush,Leafitobombas,쑥쑥봄버,茁茁轰炸,茁茁轟炸
こちこちフロスト,Freezy Frost,Évo-Congélo,Klirrfrost,Scricchiagelo,Glaceoprisma,꽁꽁프로스트,冰冰霜冻,冰冰霜凍
きらきらストーム,Sparkly Swirl,Évo-Fabulo,Glitzersturm,Sbrilluccibufera,Sylveotornado,반짝반짝스톰,亮亮风暴,亮亮風暴
ブイブイブレイク,Veevee Volley,Évo-Chardasso,Evo-Crash,Eeveempatto,Eevimpacto,브이브이브레이크,砰砰击破,砰砰擊破
ダブルパンツァー,Double Iron Bash,Écrous d’Poing,Panzerfäuste,Pugni Corazzati,Ferropuño Doble,더블펀처,钢拳双击,鋼拳雙擊
ダイアタック,Max Strike,Normalomax,Dyna-Angriff,Dynattacco,Maxiataque,다이어택,极巨攻击,極巨攻擊
ダイナックル,Max Knuckle,Pugilomax,Dyna-Faust,Dynapugno,Maxipuño,다이너클,极巨拳斗,極巨拳斗
ダイジェット,Max Airstream,Aéromax,Dyna-Düse,Dynajet,Maxiciclón,다이제트,极巨飞冲,極巨飛衝
ダイアシッド,Max Ooze,Toxinomax,Dyna-Giftschwall,Dynacorrosione,Maxiácido,다이애시드,极巨酸毒,極巨酸毒
ダイアース,Max Quake,Sismomax,Dyna-Erdstoß,Dynasisma,Maxitemblor,다이어스,极巨大地,極巨大地
ダイロック,Max Rockfall,Lithomax,Dyna-Brocken,Dynamacigno,Maxilito,다이록,极巨岩石,極巨岩石
ダイワーム,Max Flutterby,Insectomax,Dyna-Schwarm,Dynainsetto,Maxinsecto,다이웜,极巨虫蛊,極巨蟲蠱
ダイホロウ,Max Phantasm,Spectromax,Dyna-Spuk,Dynavuoto,Maxiespectro,다이할로우,极巨幽魂,極巨幽魂
ダイスチル,Max Steelspike,Métallomax,Dyna-Stahlzacken,Dynametallo,Maximetal,다이스틸,极巨钢铁,極巨鋼鐵
ダイバーン,Max Flare,Pyromax,Dyna-Brand,Dynafiammata,Maxignición,다이번,极巨火爆,極巨火爆
ダイストリーム,Max Geyser,Hydromax,Dyna-Flut,Dynaflusso,Maxichorro,다이스트림,极巨水流,極巨水流
ダイソウゲン,Max Overgrowth,Phytomax,Dyna-Flora,Dynaflora,Maxiflora,다이그래스,极巨草原,極巨草原
ダイサンダー,Max Lightning,Fulguromax,Dyna-Gewitter,Dynasaetta,Maxitormenta,다이썬더,极巨闪电,極巨閃電
ダイサイコ,Max Mindstorm,Psychomax,Dyna-Kinese,Dynapsiche,Maxionda,다이사이코,极巨超能,極巨超能
ダイアイス,Max Hailstorm,Cryomax,Dyna-Frost,Dynagelo,Maxihelada,다이아이스,极巨冰雪,極巨冰雪
ダイドラグーン,Max Wyrmwind,Dracomax,Dyna-Wyrm,Dynadragone,Maxidraco,다이드라군,极巨龙骑,極巨龍騎
ダイアーク,Max Darkness,Sinistromax,Dyna-Dunkel,Dynatenebre,Maxisombra,다이아크,极巨恶霸,極巨惡霸
ダイフェアリー,Max Starfall,Enchantomax,Dyna-Zauber,Dynafata,Maxiestela,다이페어리,极巨妖精,極巨妖精
ダイウォール,Max Guard,Gardomax,Dyna-Wall,Dynabarriera,Maxibarrera,다이월,极巨防壁,極巨防壁
キョダイベンタツ,G-Max Vine Lash,Fouet G-Max,Giga-Geißel,Gigasferzata,Gigalianas,거다이편달,超极巨灰飞鞭灭,超極巨灰飛鞭滅
キョダイゴクエン,G-Max Wildfire,Fournaise G-Max,Giga-Feuerflug,Gigavampa,Gigallamarada,거다이옥염,超极巨地狱灭焰,超極巨地獄滅焰
キョダイホウゲキ,G-Max Cannonade,Canonnade G-Max,Giga-Beschuss,Gigacannonata,Gigacañonazo,거다이포격,超极巨水炮轰灭,超極巨水砲轟滅
キョダイコワク,G-Max Befuddle,Illusion G-Max,Giga-Benebelung,Gigastupore,Gigaestupor,거다이고혹,超极巨蝶影蛊惑,超極巨蝶影蠱惑
キョダイバンライ,G-Max Volt Crash,Foudre G-Max,Giga-Blitzhagel,Gigapikafolgori,Gigatronada,거다이만뢰,超极巨万雷轰顶,超極巨萬雷轟頂
キョダイコバン,G-Max Gold Rush,Pactole G-Max,Giga-Münzregen,Gigamonete,Gigamonedas,거다이금화,超极巨特大金币,超極巨特大金幣
キョダイシンゲキ,G-Max Chi Strike,Frappe G-Max,Giga-Fokusschlag,Gigapugnointuito,Gigapuñición,거다이회심격,超极巨会心一击,超極巨會心一擊
キョダイゲンエイ,G-Max Terror,Hantise G-Max,Giga-Spuksperre,Gigaillusione,Gigaaparición,거다이환영,超极巨幻影幽魂,超極巨幻影幽魂
キョダイホウマツ,G-Max Foam Burst,Bulles G-Max,Giga-Schaumbad,Gigaschiuma,Gigaespuma,거다이포말,超极巨激漩泡涡,超極巨激漩泡渦
キョダイセンリツ,G-Max Resonance,Résonance G-Max,Giga-Melodie,Gigamelodia,Gigamelodía,거다이선율,超极巨极光旋律,超極巨極光旋律
キョダイホーヨー,G-Max Cuddle,Câlin G-Max,Giga-Gekuschel,Gigabbraccio,Gigaternura,거다이포옹,超极巨热情拥抱,超極巨熱情擁抱
キョダイサイセイ,G-Max Replenish,Récolte G-Max,Giga-Recycling,Gigarinnovamento,Gigarreciclaje,거다이재생,超极巨资源再生,超極巨資源再生
キョダイシュウキ,G-Max Malodor,Pestilence G-Max,Giga-Gestank,Gigafetore,Gigapestilencia,거다이악취,超极巨臭气冲天,超極巨臭氣沖天
キョダイユウゲキ,G-Max Meltdown,Fonte G-Max,Giga-Schmelze,Gigaliquefazione,Gigafundido,거다이융격,超极巨液金熔击,超極巨液金熔擊
キョダイコランダ,G-Max Drum Solo,Percussion G-Max,Giga-Getrommel,Gigarullio,Gigarredoble,거다이난타,超极巨狂擂乱打,超極巨狂擂亂打
キョダイカキュウ,G-Max Fireball,Pyroball G-Max,Giga-Brandball,Gigafiammopalla,Gigaesfera Ígnea,거다이화염구,超极巨破阵火球,超極巨破陣火球
キョダイソゲキ,G-Max Hydrosnipe,Gâchette G-Max,Giga-Schütze,Gigasparomirato,Gigadisparo,거다이저격,超极巨狙击神射,超極巨狙擊神射
キョダイフウゲキ,G-Max Wind Rage,Rafale G-Max,Giga-Sturmstoß,Gigaciclone,Gigahuracán,거다이풍격,超极巨旋风袭卷,超極巨旋風襲捲
キョダイテンドウ,G-Max Gravitas,Ondes G-Max,Giga-Astrowellen,Gigagravitoforza,Gigabóveda,거다이천도,超极巨天道七星,超極巨天道七星
キョダイガンジン,G-Max Stonesurge,Récif G-Max,Giga-Geröll,Gigarocciagetto,Gigatrampa Rocas,거다이암진,超极巨岩阵以待,超極巨岩陣以待
キョダイフンセキ,G-Max Volcalith,Téphra G-Max,Giga-Schlacke,Gigalapilli,Gigarroca Ígnea,거다이분석,超极巨炎石喷发,超極巨炎石噴發
キョダイサンゲキ,G-Max Tartness,Corrosion G-Max,Giga-Säureguss,Gigattaccoacido,Gigacorrosión,거다이산격,超极巨酸不溜丟,超極巨酸不溜丟
キョダイカンロ,G-Max Sweetness,Nectar G-Max,Giga-Nektarflut,Gigambrosia,Giganéctar,거다이감로,超极巨琼浆玉液,超極巨瓊漿玉液
キョダイサジン,G-Max Sandblast,Enlisement G-Max,Giga-Sandstoß,Gigavortisabbia,Gigapolvareda,거다이사진,超极巨沙尘漫天,超極巨沙塵漫天
キョダイカンデン,G-Max Stun Shock,Choc G-Max,Giga-Voltschlag,Gigatoxiscossa,Gigadescarga,거다이감전,超极巨异毒电场,超極巨異毒電場
キョダイヒャッカ,G-Max Centiferno,Combustion G-Max,Giga-Feuerkessel,Gigamillefiamme,Gigacienfuegos,거다이백화,超极巨百火焚野,超極巨百火焚野
キョダイテンバツ,G-Max Smite,Sentence G-Max,Giga-Sanktion,Gigacastigo,Gigacastigo,거다이천벌,超极巨万雷轰顶,超極巨天譴雷誅
キョダイスイマ,G-Max Snooze,Torpeur G-Max,Giga-Gähnzwang,Gigatorpore,Gigasopor,거다이수마,超极巨睡魔降临,超極巨睡魔降臨
キョダイダンエン,G-Max Finale,Cure G-Max,Giga-Lichtblick,Gigagranfinale,Gigacolofón,거다이단원,超极巨幸福圆满,超極巨幸福圓滿
キョダイコウジン,G-Max Steelsurge,Percée G-Max,Giga-Stahlschlag,Gigaferroaculei,Gigatrampa Acero,거다이강철진,超极巨钢铁阵法,超極巨鋼鐵陣法
キョダイゲンスイ,G-Max Depletion,Usure G-Max,Giga-Dämpfer,Gigalogoramento,Gigadesgaste,거다이감쇠,超极巨劣化衰变,超極巨劣化衰變
キョダイイチゲキ,G-Max One Blow,Coup Final G-Max,Giga-Einzelhieb,Gigasingolcolpo,Gigagolpe Brusco,거다이일격,超极巨夺命一击,超極巨奪命一擊
キョダイレンゲキ,G-Max Rapid Flow,Multicoup G-Max,Giga-Multihieb,Gigapluricolpo,Gigagolpe Fluido,거다이연격,超极巨流水连击,超極巨流水連擊
Gのちから,Grav Apple,Force G,Gravitation,Forza G,Fuerza G,G의힘,万有引力,萬有引力
アイアンローラー,Steel Roller,Métalliroue,Eisenwalze,Ferrorullo,Allanador Férreo,아이언롤러,铁滚轮,鐵滾輪
アストラルビット,Astral Barrage,Éclat Spectral,Astralfragmente,Schegge Astrali,Orbes Espectro,아스트랄비트,星碎,星碎
あんこくきょうだ,Wicked Blow,Poing Obscur,Finstertreffer,Pugnotenebra,Golpe Oscuro,암흑강타,暗冥强击,暗冥強擊
いてつくしせん,Freezing Glare,Regard Glaçant,Eisiger Blick,Sguardo Gelido,Mirada Heladora,얼어붙는시선,冰冷视线,冰冷視線
いのちのしずく,Life Dew,Fontaine de Vie,Lebenstropfen,Goccia Vitale,Gota Vital,생명의물방울,生命水滴,生命水滴
うっぷんばらし,Lash Out,Cent Rancunes,Frustventil,Sfogarabbia,Desahogo,분풀이,泄愤,洩憤
えだづき,Branch Poke,Tapotige,Zweigstoß,Ramostoccata,Punzada Rama,가지찌르기,木枝突刺,木枝突刺
エラがみ,Fishious Rend,Branchicrok,Kiemenbiss,Branchiomorso,Branquibocado,아가미물기,鳃咬,鰓咬
オーバードライブ,Overdrive,Overdrive,Overdrive,Overdrive,Amplificador,오버드라이브,破音,破音
オーラぐるま,Aura Wheel,Roue Libre,Aura-Rad,Ruota d'Aura,Rueda Aural,오라휠,气场轮,氣場輪
おちゃかい,Teatime,Thérémonie,Teatime,Ora del Tè,Hora del Té,다과회,茶会,茶會
かえんボール,Pyro Ball,Ballon Brûlant,Feuerball,Palla Infuocata,Balón Ígneo,화염볼,火焰球,火焰球
きょじゅうざん,Behemoth Blade,Gladius Maximus,Gigantenhieb,Taglio Maestoso,Tajo Supremo,거수참,巨兽斩,巨獸斬
きょじゅうだん,Behemoth Bash,Aegis Maxima,Gigantenstoß,Colpo Maestoso,Embate Supremo,거수탄,巨兽弹,巨獸彈
クイックターン,Flip Turn,Eau Revoir,Rollwende,Virata,Viraje,퀵턴,快速折返,快速折返
くらいつく,Jaw Lock,Croque Fort,Fesselbiss,Morsostretto,Presa Maxilar,물고버티기,紧咬不放,緊咬不放
グラススライダー,Grassy Glide,Gliss'Herbe,Grasrutsche,Erboscivolata,Fitoimpulso,그래스슬라이더,青草滑梯,青草滑梯
コーチング,Coaching,Coaching,Coaching,Coaching,Motivación,코칭,指导,指導
コートチェンジ,Court Change,Change-Côté,Seitenwechsel,Cambiocampo,Cambio de Cancha,코트체인지,换场,換場
サンダープリズン,Thunder Cage,Voltageôle,Blitzgefängnis,Elettrogabbia,Electrojaula,썬더프리즌,雷电囚笼,雷電囚籠
シェルアームズ,Shell Side Arm,Kokiyarme,Muschelwaffe,Armaguscio,Moluscañón,셸암즈,臂贝武器,臂貝武器
しっとのほのお,Burning Jealousy,Feu Envieux,Neidflammen,Fiamminvidia,Envidia Ardiente,질투의불꽃﻿,妒火,妒火
ジャングルヒール,Jungle Healing,Selve Salvatrice,Dschungelheilung,Giunglacura,Cura Selvática,정글힐,丛林治疗,叢林治療
すいりゅうれんだ,Surging Strikes,Torrent de Coups,Trefferschwall,Idroraffica,Azote Torrencial,수류연타,水流连打,水流連打
スケイルショット,Scale Shot,Rafale Écailles,Schuppenschuss,Squamacolpo,Ráfaga Escamas,스케일샷,鳞射,鱗射
スターアサルト,Meteor Assault,Joute Astrale,Sternensturm,Sfolgorassalto,Asalto Estelar,스타어설트,流星突击,流星突擊
ソウルクラッシュ,Spirit Break,Choc Émotionnel,Seelenbruch,Frantumanima,Choque Anímico,소울크래시,灵魂冲击,靈魂衝擊
ソウルビート,Clangorous Soul,Dracacophonie,Seelentanz,Dracofonia,Estruendo Escama,소울비트,魂舞烈音爆,魂舞烈音爆
タールショット,Tar Shot,Goudronnage,Teerschuss,Colpocatrame,Alquitranazo,타르숏,沥青射击,瀝青射擊
だいちのはどう,Terrain Pulse,Champlification,Feldimpuls,Campopulsar,Pulso de Campo,대지의파동,大地波动,大地波動
ダイマックスほう,Dynamax Cannon,Canon Dynamax,Dynamax-Kanone,Cannone Dynamax,Cañón Dinamax,다이맥스포,极巨炮,極巨炮
たこがため,Octolock,Octoprise,Octoklamme,Tentacolock,Octopresa,문어굳히기,蛸固,蛸固
ダブルウイング,Dual Wingbeat,Double Volée,Doppelflügel,Doppia Ala,Ala Bis,더블윙,双翼,雙翼
デコレーション,Decorate,Nappage,Verzierung,Decorazione,Decoración,데코레이션,装饰,裝飾
てっていこうせん,Steel Beam,Métalaser,Stahlstrahl,Raggio d'Acciaio,Metaláser,철제광선,铁蹄光线,鐵蹄光線
でんげきくちばし,Bolt Beak,Prise de Bec,Schockschnabel,Beccoshock,Electropico,전격부리,电喙,電喙
どげざつき,False Surrender,Fourbette,Kniefalltrick,Supplicolpo,Irreverencia,사죄의찌르기,假跪真撞,假跪真撞
ドラゴンアロー,Dragon Darts,Draco-Flèches,Drachenpfeile,Dragofrecce,Dracoflechas,드래곤애로,龙箭,龍箭
ドラゴンエナジー,Dragon Energy,Draco-Énergie,Drachenkräfte,Dragoenergia,Dracoenergía,드래곤에너지,巨龙威能,巨龍威能
トラバサミ,Snap Trap,Troquenard,Fangeisen,Tagliola,Cepo,집게덫,捕兽夹,捕獸夾
ドラムアタック,Drum Beating,Tambour Battant,Trommelschläge,Tamburattacco,Batería Asalto,드럼어택,鼓击,鼓擊
トリプルアクセル,Triple Axel,Triple Axel,Dreifach-Axel,Triplo Axel,Triple Axel,트리플악셀,三旋击,三旋擊
ねっさのだいち,Scorching Sands,Sable Ardent,Brandsand,Sabbiardente,Arenas Ardientes,열사의대지,热沙大地,熱沙大地
ねらいうち,Snipe Shot,Tir de Précision,Präzisionsschuss,Tiromirato,Disparo Certero,노려맞히기,狙击,狙擊
はいすいのじん,No Retreat,Ultime Bastion,Finalformation,Spalle al Muro,Bastión Final,배수의진,背水一战,背水一戰
はいよるいちげき,Skitter Smack,Ravage Rampant,Krabbelkracher,Strisciacolpo,Golpe Rastrero,엄습하는일격,爬击,爬擊
ぶきみなじゅもん,Eerie Spell,Sort Sinistre,Schauderspruch,Inquietantesimo,Conjuro Funesto,섬뜩한주문,诡异咒语,詭異咒語
ふしょくガス,Corrosive Gas,Gaz Corrosif,Korrosionsgas,Gas Corrosivo,Gas Corrosivo,부식가스,腐蚀气体,腐蝕氣體
ブリザードランス,Glacial Lance,Lance de Glace,Blizzardlanze,Lancia Glaciale,Lanza Glacial,블리자드랜스,雪矛,雪矛
ブロッキング,Obstruct,Blocage,Abblocker,Sbarramento,Obstrucción,블로킹,拦堵,攔堵
ほおばる,Stuff Cheeks,Garde-à-Joues,Backenstopfer,Riempiguance,Atiborramiento,볼가득넣기,大快朵颐,大快朵頤
ボディプレス,Body Press,Big Splash,Body Press,Schiacciacorpo,Plancha Corporal,바디프레스,扑击,撲擊
ポルターガイスト,Poltergeist,Esprit Frappeur,Poltergeist,Poltergeist,Poltergeist,폴터가이스트,灵骚,靈騷
まほうのこな,Magic Powder,Poudre Magique,Magiepuder,Magipolvere,Polvo Mágico,마법가루,魔法粉,魔法粉
ミストバースト,Misty Explosion,Explo-Brume,Nebelexplosion,Nebbioscoppio,Bruma Explosiva,미스트버스트,薄雾炸裂,薄霧炸裂
ムゲンダイビーム,Eternabeam,Laser Infinimax,Unendynastrahlen,Raggio Infinito,Rayo Infinito,무한다이빔,无极光束,無極光束
メテオビーム,Meteor Beam,Laser Météore,Meteorstrahl,Raggiometeora,Rayo Meteórico,메테오빔,流星光束,流星光束
もえあがるいかり,Fiery Wrath,Fureur Ardente,Brennender Zorn,Furia Ardente,Furia Candente,타오르는분노,怒火中烧,怒火中燒
ライジングボルト,Rising Voltage,Monte-Tension,Hochspannung,Elettroimpennata,Alto Voltaje,라이징볼트,电力上升,電力上升
らいめいげり,Thunderous Kick,Coup Fulgurant,Donnernder Tritt,Calcio Tonante,Patada Relámpago,천둥차기,雷鸣蹴击,雷鳴蹴擊
りんごさん,Apple Acid,Acide Malique,Apfelsäure,Acido Malico,Ácido Málico,사과산,苹果酸,蘋果酸
ワイドフォース,Expanding Force,Vaste Pouvoir,Flächenmacht,Vastenergia,Vasta Fuerza,와이드포스,广域战力,廣域戰力
ワイドブレイカー,Breaking Swipe,Abattage,Breitseite,Vastoimpatto,Vasto Impacto,와이드브레이커,广域破坏,廣域破壞
ワンダースチーム,Strange Steam,Vapeur Féérique,Wunderdampf,Vapore Incantato,Cautivapor,원더스팀,神奇蒸汽,神奇蒸汽
フェイタルクロー,Dire Claw,Griffes Funestes,Unheilsklauen,Artigli Fatali,Garra Nociva,페이탈클로,克命爪,剋命爪
バリアーラッシュ,Psyshield Bash,Sprint Bouclier,Barrierenstoß,Barrierassalto,Asalto Barrera,배리어러시,屏障猛攻,屏障猛攻
パワーシフト,Power Shift,Échange Force,Kraftwechsel,Scambioforza,Cambiapoder,파워시프트,力量转换,力量轉換
がんせきアックス,Stone Axe,Hache de Pierre,Felsaxt,Rocciascure,Hachazo Pétreo,암석액스,岩斧,岩斧
はるのあらし,Springtide Storm,Typhon Passionné,Frühlingsorkan,Tempesta Zefirea,Ciclón Primavera,봄의폭풍,阳春风暴,陽春風暴
しんぴのちから,Mystical Power,Force Mystique,Mythenkraft,Forza Mistica,Poder Místico,신비의힘,神秘之力,神秘之力
だいふんげき,Raging Fury,Grand Courroux,Flammenwut,Ira Furente,Erupción de Ira,대격분,大愤慨,大憤慨
ウェーブタックル,Wave Crash,Aquatacle,Wellentackle,Ondaschianto,Envite Acuático,웨이브태클,波动冲,波動衝
クロロブラスト,Chloroblast,Herblast,Chlorostrahl,Clorofillaser,Clorofiláser,클로로블라스트,叶绿爆震,葉綠爆震
ひょうざんおろし,Mountain Gale,Bise Glaciaire,Frostfallwind,Soffio d'Iceberg,Viento Carámbano,빙산바람,冰山风,冰山風
しょうりのまい,Victory Dance,Danse Victoire,Siegestanz,Danzavittoria,Danza Triunfal,승리의춤,胜利之舞,勝利之舞
ぶちかまし,Headlong Rush,Assaut Frontal,Schmetterramme,Scontro Frontale,Arremetida,들이받기,突飞猛扑,突飛猛撲
どくばりセンボン,Barb Barrage,Multitoxik,Giftstachelregen,Mille Fielespine,Mil Púas Tóxicas,독침천발,毒千针,毒千針
オーラウイング,Esper Wing,Ailes Psycho,Auraschwingen,Ali d'Aura,Ala Aural,오라윙,气场之翼,氣場之翼
うらみつらみ,Bitter Malice,Cœur de Rancœur,Niedertracht,Livore,Rencor Reprimido,천추지한,冤冤相报,冤冤相報
たてこもる,Shelter,Mur Fumigène,Refugium,Barricata,Retracción,농성,闭关,閉關
3ぼんのや,Triple Arrows,Triple Flèche,Drillingspfeile,Triplodardo,Triple Flecha,3연화살,三连箭,三連箭
ひゃっきやこう,Infernal Parade,Cortège Funèbre,Phantomparade,Corteo Spettrale,Marcha Espectral,백귀야행,群魔乱舞,群魔亂舞
ひけん・ちえなみ,Ceaseless Edge,Vagues à Lames,Klingenschwall,Lama Milleflutti,Tajo Metralla,비검천중파,秘剑・千重涛,秘劍・千重濤
こがらしあらし,Bleakwind Storm,Typhon Hivernal,Polarorkan,Tempesta Boreale,Vendaval Gélido,찬바람폭풍,枯叶风暴,枯葉風暴
かみなりあらし,Wildbolt Storm,Typhon Fulgurant,Donnerorkan,Tempesta Tonante,Electormenta,번개폭풍,鸣雷风暴,鳴雷風暴
ねっさのあらし,Sandsear Storm,Typhon Pyrosable,Wüstenorkan,Tempesta Ardente,Simún de Arena,열사의폭풍,热沙风暴,熱沙風暴
みかづきのいのり,Lunar Blessing,Prière Lunaire,Lunargebet,Invocaluna,Plegaria Lunar,초승달의기도,新月祈祷,新月祈禱
ブレイブチャージ,Take Heart,Extravaillance,Mutschub,Baldimpulso,Bálsamo Osado,브레이브차지,勇气填充,勇氣填充
アーマーキャノン,Armor Cannon,Canon Blindé,Rüstungskanone,Corazza Cannone,Cañón Armadura,아머캐논,铠农炮,鎧農炮
アイススピナー,Ice Spinner,Cryo-Pirouette,Eiskreisel,Vortighiaccio,Pirueta Helada,아이스스피너,冰旋,冰旋
アクアカッター,Aqua Cutter,Tranch'Aqua,Aquaschnitt,Idrotaglio,Tajo Acuático,아쿠아커터,水波刀,水波刀
アクアステップ,Aqua Step,Danse Aquatique,Wogentanz,Idroballetto,Danza Acuática,아쿠아스텝,流水旋舞,流水旋舞
アクセルブレイク,Collision Course,Nitro Crash,Kollisionskurs,Turboschianto,Nitrochoque,액셀브레이크,全开猛撞,全開猛撞
いっちょうあがり,Order Up,Plat du Jour,Auftischen,Alta Cucina,Oído Cocina,한판내기,上菜,上菜
イナズマドライブ,Electro Drift,Turbo Volt,Blitztour,Fulmiscatto,Electroderrape,라이트닝드라이브,闪电猛冲,閃電猛衝
うつしえ,Doodle,Décalquage,Abpausen,Ricalco,Decalcomanía,베껴그리기,描绘,描繪
エレクトロビーム,Electro Shot,Fulgurayon,Stromstrahl,Elettroraggio,Electrorrayo,일렉트로빔,电光束,電光束
おかたづけ,Tidy Up,Grand Nettoyage,Aufräumen,Pulizie,Limpieza General,정리정돈,大扫除,大掃除
おはかまいり,Last Respects,Hommage Posthume,Letzte Ehre,Omaggio ai KO,Homenaje Póstumo,성묘,扫墓,掃墓
かえんのまもり,Burning Bulwark,Rempart Brûlant,Flammenschild,Egida Ignea,Llama Protectora,화염의수호,火焰守护,火焰守護
かかとおとし,Axe Kick,Talon-Marteau,Fersenkick,Calcio ad Ascia,Patada Hacha,발꿈치찍기,下压踢,下壓踢
